ID,study,ResearchAsisitant,Raven1,Raven2,Raven3,Raven4,Raven5,Raven6,Raven7,Raven8,Raven9,Raven10,Raven11,Raven12,Raven13,Raven14,Raven15,Raven16,Raven17,Raven18,Raven19,Raven20,Raven21,Raven22,Raven23,Raven24,Raven25,Raven26,Raven27,Raven28,Raven29,Raven30,Raven31,Raven32,Raven33,Raven34,Raven35,Raven36,sex,age,Raven_Total,Raven_percentile,Raven_probabilities,Raven_z_scores,Raven_IQ,Raven_IQ_cat,SAI_winsorised,SAI_winsorized_IQ,SAI_residuals,SAI_residuals_abs,Raven_IQ2,SAIQ_IQ_dif,raven_odd,raven_even,raven_even2
208,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,24,23,55,0.55,0.125661347,101.8849202,2,22,145,4.163529358,4.163529358,10380.53696,43.1150798,11,12,144
984,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,39,22,59,0.59,0.227544977,103.4131746,2,22,145,4.294979234,4.294979234,10694.28469,41.58682535,12,10,100
380,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,39,22,59,0.59,0.227544977,103.4131746,2,22,145,4.294979234,4.294979234,10694.28469,41.58682535,12,10,100
12,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,19,22,50,0.5,0,100,2,23,150,5.294979234,5.294979234,10000,50,10,12,144
1094,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,45,0.45,-0.125661347,98.1150798,2,23,150,5.42642911,5.42642911,9626.568884,51.8849202,11,10,100
23,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,21,45,0.45,-0.125661347,98.1150798,2,23,150,5.42642911,5.42642911,9626.568884,51.8849202,11,10,100
927,data4, ,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,23,23,23,0.23,-0.738846849,88.91729726,2,23,150,5.163529358,5.163529358,7906.285752,61.08270274,13,10,100
895,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,21,45,0.45,-0.125661347,98.1150798,2,23,150,5.42642911,5.42642911,9626.568884,51.8849202,11,10,100
201,couples,couples_women,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,45,0.45,-0.125661347,98.1150798,2,23,150,5.42642911,5.42642911,9626.568884,51.8849202,11,10,100
1032,data4, ,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,25,21,45,0.45,-0.125661347,98.1150798,2,23,150,5.42642911,5.42642911,9626.568884,51.8849202,10,11,121
238,couples,couples_men,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,25,21,45,0.45,-0.125661347,98.1150798,2,23,150,5.42642911,5.42642911,9626.568884,51.8849202,10,11,121
1101,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,23,55,0.55,0.125661347,101.8849202,2,23,150,5.163529358,5.163529358,10380.53696,48.1150798,12,11,121
29,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,20,23,55,0.55,0.125661347,101.8849202,2,23,150,5.163529358,5.163529358,10380.53696,48.1150798,12,11,121
163,couples,couples_women,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,23,23,55,0.55,0.125661347,101.8849202,2,23,150,5.163529358,5.163529358,10380.53696,48.1150798,13,10,100
945,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,30,23,55,0.55,0.125661347,101.8849202,2,23,150,5.163529358,5.163529358,10380.53696,48.1150798,11,12,144
342,couples,couples_women,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,30,23,55,0.55,0.125661347,101.8849202,2,23,150,5.163529358,5.163529358,10380.53696,48.1150798,11,12,144
